sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Amer	Ne_Acol:Agam:Amer	Ne_Aara:Aqua:Amel:Acol:Agam:Amer	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Aara:Aqua:Amel_to_Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam	bmig_Aara:Aqua:Amel_to_Acol:Agam:Amer	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Acol:Agam_to_Aara:Aqua:Amel	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Amer_to_Aara:Aqua:Amel	bmig_Acol:Agam:Amer_to_Aara:Aqua:Amel	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Acol	height_Agam	height_Acol:Agam	height_Amer	height_Acol:Agam:Amer	height_Aara:Aqua:Amel:Acol:Agam:Amer
0	8.560332771943071E-4	7.897935614751152E-4	6.555753092795333E-4	6.057840997274829E-4	9.033291977376774E-4	7.595296401552569E-4	8.23998700759422E-4	4.71940093753866E-4	6.305922813617553E-4	6.8957372000511E-4	9.528361236665668E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.229001039532836	0.0	0.0	0.0	3.3933439591338312	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33340927957391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006480883904465457	0.0	0.007794656874562263	0.0	0.0	0.0013030276995966029	0.0	0.010934064547406776	0.010952421729129929
1	5.707316949706446E-4	8.590379050655398E-4	6.353754280873522E-4	8.015971139168888E-4	0.0011010932821699496	8.356385443577586E-4	0.0011155216075374274	5.317217217898064E-4	8.837402593366093E-4	9.43402503637847E-4	7.860933425287527E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.697113673797947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00630484383771318	0.0	0.007790911077544809	0.0	0.0	0.0012409247588344233	0.0	0.01082126161830159	0.010905410369862546
2	5.389373219371054E-4	7.908036353938667E-4	4.8309564351654995E-4	7.213744162148184E-4	8.763916855804775E-4	4.7745262238388885E-4	7.636477608609419E-4	5.10118166427208E-4	7.691269389137464E-4	7.472873967443054E-4	0.0011347321098308834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.697113673797947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006707719035294159	0.0	0.00802360750130623	0.0	0.0	0.001308696759982948	0.0	0.011089917074025908	0.011734442989139325
3	9.98566865198865E-4	7.966259681097491E-4	0.0010420377069000513	0.0011478875559518275	0.0012698189023036181	0.0012453748780721148	0.0014842850095874668	7.391189359683275E-4	8.903680103825926E-4	7.170339615066416E-4	8.789550950279875E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.697113673797947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.51491306630313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006449910625636181	0.0	0.007822922415069884	0.0	0.0	0.0011441817947488477	0.0	0.011501053123502853	0.011824500223530411
4	0.0014025668119811892	0.0010615553620420667	8.612909494167653E-4	0.0010698371571832895	0.0015072291271866337	0.0017630745157089513	0.0010719372134268452	7.516934896823032E-4	0.001557744809575265	0.0011064694535361846	0.0010179320406931659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.697113673797947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006176792327233464	0.0	0.007664116753726589	0.0	0.0	0.0011978457846280079	0.0	0.011095391744400534	0.011270330019792473
5	8.380127264780733E-4	8.65009136643656E-4	0.0011679395914304122	7.735284262867951E-4	8.936465589699099E-4	7.957928823681845E-4	0.0013411623277318552	8.764896457138247E-4	8.323586858360211E-4	0.0012178045119415222	9.822258067804556E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005934683583056409	0.0	0.007279935630333664	0.0	0.0	0.001315346599155092	0.0	0.009798804360440666	0.009821726771539094
6	6.972956191662616E-4	8.512542924286489E-4	0.0011252698191055923	8.589279964863906E-4	0.0010035269751314537	9.58876180107076E-4	0.0013449110151466314	8.263220019949538E-4	6.52370970690533E-4	9.85029096093075E-4	0.0013948305170925022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006225430906412462	0.0	0.00869353931281787	0.0	0.0	0.001316688942962687	0.0	0.010359429335484059	0.010694702875755606
7	0.0012413577110339197	9.546954379658202E-4	7.143136533097298E-4	8.329268757464276E-4	8.13795651918638E-4	6.007593589597654E-4	8.171343054427348E-4	7.615865346963577E-4	5.717299590265852E-4	0.001101101795984975	9.093197317846431E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057879213346782475	0.0	0.007955369318020093	0.0	0.0	8.332057899323349E-4	0.0	0.00974857554410435	0.009821021716834214
8	0.0013344200410393583	8.729129872744377E-4	8.234242317552465E-4	0.0012791473778950304	0.001491165393840172	0.0010094201278838884	0.0012868500211792972	8.641941696494158E-4	0.0016269442051002369	0.0011149763193309995	9.093703880346375E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.668573367110639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005736655284705673	0.0	0.008251485547114959	0.0	0.0	7.407530345454102E-4	0.0	0.009846935313137755	0.010088380901775253
9	0.001458852331073566	0.001626990513739135	0.001023352803778397	0.0019429664465733887	0.00113625751510954	0.0016550426989602807	0.0019479977863596529	0.0011790980719932507	0.0015456229341030215	0.0018245471550506203	0.0015782205938469343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9816672907627912	0.0	0.0	0.0	0.0	0.0	0.006664183645485204	0.0	0.009329354820548906	0.0	0.0	2.8637409000301615E-4	0.0	0.009536231452548316	0.010635833266541375
10	0.0018081565712147454	9.297476564919112E-4	0.002169186502898692	8.744985394822189E-4	0.0015221417267099258	0.0016486897977090666	6.395148671266715E-4	0.0011924789859688793	0.0012108583583145122	0.002076363243971341	0.0014280173355981157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006233751479401457	0.0	0.008608310524384747	0.0	0.0	9.837729508684577E-5	0.0	0.009580093342868124	0.01042537307748259
11	0.0017204379969890345	0.0017268033405800159	0.0017040186734961081	0.0012668063962266581	0.0022328439467821396	0.0026582008817813882	0.0010064092640796162	0.0011887275726236962	0.0012930470921206586	0.0011853850286637757	9.019757562658533E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005954699271404022	0.0	0.008305110235141053	0.0	0.0	2.2638465197380442E-4	0.0	0.010057346731893416	0.010476573169139412
12	0.001753749036747506	0.0016638732547901978	0.001752258212867065	0.001197874412729814	0.0013794510146733757	0.002107673031010997	0.00211134601106831	0.0016112962279593462	9.516465260722572E-4	0.0022337636849832083	0.0012323020203859629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048692575662272935	0.0	0.008358331835390944	0.0	0.0	5.495084064988769E-4	0.0	0.009521815952471726	0.010613707439318646
13	0.0012156283155129656	0.0012719970332511841	0.0011031420386217532	0.0014819280730427572	0.0010376778501191902	0.0016833275431454217	0.0024342520471079465	0.0011696584229417934	0.001646917188969876	0.002132316301636191	0.0013014745758774884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059605288385952936	0.0	0.008166851524793935	0.0	0.0	3.8792928521758085E-4	0.0	0.009282834737949937	0.010842580913490565
14	0.0014025621946175861	0.0015817575883248858	0.0014075292419282897	9.410495101950438E-4	0.001276049598981575	8.736552533682502E-4	0.0018095530014013168	0.001115598426171853	0.0012152016210027477	0.0014719985675369857	0.0014358385491668214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006249771009307644	0.0	0.008696565741261313	0.0	0.0	6.380416806531786E-4	0.0	0.010254345340154099	0.010649133710860237
15	0.0014298465499276182	8.506716866068148E-4	0.001272350988133861	0.0021119216618094494	0.0013613177659691136	0.0013291173097708248	0.0013929539798657683	0.001093416770277095	9.526860617406107E-4	0.0012979414866935819	0.001827096559220046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005946159091875986	0.0	0.008146313720883059	0.0	0.0	7.110340790772007E-4	0.0	0.009471662111730011	0.010338713770629587
16	6.524715558146166E-4	0.0011247975002109155	0.0012795935006389033	0.0014628968322763726	0.001242454931302508	0.0011927654336736494	7.548883961129704E-4	8.161554616205697E-4	0.0010181432062509761	0.0014831346304185606	0.0015876424851909506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.508611168507194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059144606153659525	0.0	0.008539375696549598	0.0	0.0	7.77572086798111E-4	0.0	0.009608315341686538	0.010579453934823728
17	9.347635360633571E-4	4.745395161625958E-4	9.263522072395571E-4	7.455471423381694E-4	6.600687945732158E-4	0.0010349576060943526	0.0012148385381235843	8.321697481037259E-4	8.212186646942497E-4	7.340827412635502E-4	8.609729155469771E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006506119100549634	0.0	0.008783655207873973	0.0	0.0	4.534367514139777E-4	0.0	0.010563752556590622	0.010851777443064998
18	0.00104555909278797	8.68218943592199E-4	0.0010173968400891229	0.0011733828265823294	0.001211067124206277	0.0013396893468991121	0.0012745345174731571	7.628051150691418E-4	0.0010175273741207397	0.0011025676559329046	0.001105451625737111	0.0	0.0	0.0	0.0	0.0	0.0	19.415320427064984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005588993262766068	0.0	0.007084728373945152	1.734723475976807E-18	1.734723475976807E-18	9.873524798389068E-4	0.0	0.010287352868119834	0.01038532840577497
19	0.0011657278008343269	9.125191735256311E-4	7.44780709613702E-4	8.529133501277339E-4	7.996600675150499E-4	0.001109033466288593	0.001053807450683604	5.617902567716307E-4	9.214363963475792E-4	0.0010047327065632434	0.0010211708701959275	0.0	0.0	0.0	0.0	0.0	0.0	19.415320427064984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005727801588244353	0.0	0.008411398219330334	0.0	0.0	9.92805787986802E-4	0.0	0.010125001898852928	0.010929550736116912
20	6.573768192492596E-4	7.803344170133947E-4	6.777801305018945E-4	8.864782972517634E-4	0.001384998412861612	0.0014628795141926178	8.493756276928185E-4	8.224381412814261E-4	7.998988137051742E-4	0.0010068666109479022	9.704403928981853E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005678354180905628	0.0	0.008019681478147479	0.0	0.0	0.00100014132949096	0.0	0.009988031741936632	0.010439866961723379
21	8.559406584240617E-4	7.818373230879588E-4	9.402748933572377E-4	9.090973618395111E-4	9.225332349224296E-4	6.4432055892758E-4	0.0011496220710962325	7.604106811900492E-4	6.952624741584007E-4	8.090756226041987E-4	0.001068904604484908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005155448515959796	0.0	0.007659965109781444	0.0	0.0	8.992787284819274E-4	0.0	0.009584416706324294	0.00978429388365902
22	0.0010851286899340778	7.636122882431967E-4	7.543780326789466E-4	9.606022615418178E-4	8.918369312853886E-4	0.001413445671025065	0.0013551162007711974	7.489620068925683E-4	9.640577975228409E-4	8.342146274157323E-4	0.0014574467045703873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053518246219886705	0.0	0.007856293834912884	0.0	0.0	8.288921705564504E-4	0.0	0.009838639989368798	0.009929798010066633
23	0.0012860454147311958	8.806800207167895E-4	9.183753173890623E-4	9.644241399286107E-4	8.398940484047057E-4	0.001065726835170906	8.375336565104059E-4	6.122632641186305E-4	6.662688813021295E-4	8.953852180516017E-4	0.0011716191373413662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.484360596367116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005984258839431469	0.0	0.008778546840666968	0.0	0.0	0.0010324624571448563	0.0	0.010405323542106939	0.010750473460028321
24	0.0012884012236177354	9.132785693906304E-4	0.001229761948562372	0.0014469812990231523	7.182361120550752E-4	0.001790491065292706	0.0013022542804812832	0.0016447302890524097	0.0014189065295210981	0.001098902466955058	0.0016489423124058968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005362307635457804	0.0	0.008312196622213188	0.0	0.0	5.740381187253341E-4	0.0	0.008773301021046771	0.009433304211835993
25	0.0010533708691283805	0.0013765969504549516	0.0016086432563212274	0.0011251951522351252	0.0015845447773125904	0.0010385805953177021	0.0012752838253589388	0.0010455450005099269	0.001104966856873761	8.84684999917304E-4	0.0015833561222596984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005900591882273664	0.0	0.008493775017642344	0.0	0.0	6.720738408256058E-4	0.0	0.010073609110649888	0.010123814970402595
26	0.001114161895035773	0.001972536950793424	0.0015277833966931143	0.0011930160003673395	9.998947894764903E-4	0.0014583653279807115	0.001194084614288144	8.302810695886584E-4	9.928212517412208E-4	0.0018378606540598228	0.001290085986496717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005884164057988581	0.0	0.008755435374064155	0.0	0.0	7.611321612586569E-4	0.0	0.009560817824035147	0.009970669255675182
27	0.0022463317321946745	0.001492935464031089	0.0013481817696011518	0.0012671624791374798	0.0010510076960167016	0.0016212835952943312	0.0010535818179407495	0.0010863036445588794	0.0016620070397688992	0.0012382578064520325	0.00136903912619648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.47618804109624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005287155846203417	0.0	0.008599103093344029	0.0	0.0	8.771426936262979E-4	0.0	0.009676448525866353	0.009750576343202255
28	0.001442792699367988	0.0017429982574319548	0.0011881754162248268	0.0017607846729771383	0.0010496843740527937	0.0010416906445471007	0.0015985037218836705	8.955872618538045E-4	0.0014764425020950813	0.0013480717942966332	0.0011644329426257522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.196040751631614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005230746386841223	0.0	0.00859959966133246	0.0	0.0	0.0010709724049736483	0.0	0.010017522976212626	0.010380048701841827
29	0.001706434618498268	0.0021384323103308795	0.0013771772453602693	0.0020488283490570857	0.0012100474929601097	0.0016616494953323603	0.0012700576856831969	0.0011451726531843051	0.0013953907359756444	0.0014532889222249646	0.0012791508701805651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0806581527351766	0.0	0.0	0.0	0.003532061464215073	0.0	0.009028285419908426	0.0	0.0	0.0010102261353290998	0.0	0.01093814380616929	0.011018844494259739
30	0.001189962565234681	0.0017715907212644468	7.851617958411002E-4	0.0013828852900246076	9.090009922110695E-4	0.0016040211040256906	0.0012524372674744444	0.0010041173816647535	0.001287250336766225	0.0010485677078470208	7.158897827211085E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.278211644528657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005528383451327859	0.0	0.008129666150351987	0.0	0.0	0.001240852005019272	0.0	0.010501367565613966	0.011262803220512983
31	0.0011548014144268364	0.0017864285996625872	0.0017897666135139171	0.0016351038372093662	0.0013712206720820942	8.210277842202216E-4	9.705849481931553E-4	9.312715486497891E-4	0.0015539298319906195	0.001875985030081375	0.0010888925637879594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.278211644528657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005096526567095791	0.0	0.007916229574751119	0.0	0.0	0.001420881132558921	0.0	0.010200679075071932	0.01115662027314001
